LED Item ,M365L2-C1,,,M365LP1-C1,,,M385L2-C1,,,M385LP1-C1,,,M405L3-C1,,,M405LP1-C1,,,M455L3-C1,,,M470L3-C1,,,M505L3-C1,,,M530L3-C1,,,M590L3-C1,,,M617L3-C1,,,M625L3-C1,,,M660L4-C1,,,M730L4-C1,,,M780L3-C1,,,M810L3-C1,,,M850L3-C1,,,M940L3-C1,,,MCWHL5-C1,
Approximate Total Beam Power with Collimation Adapter for Olympus BX and IX Microscopes (mW),120,,,505,,,170,,,795,,,665,,,750,,,500,,,350,,,210,,,170,,,80,,,320,,,380,,,590,,,240,,,210,,,245,,,480,,,430,,,440,
Scaling Constant,1.23E+01,,,3.76E+01,,,1.35E+01,,,5.92E+01,,,2.90E+01,,,4.58E+01,,,2.08E+01,,,1.66E+01,,,5.49E+00,,,4.09E+00,,,5.38E+00,,,1.74E+01,,,1.98E+01,,,2.31E+01,,,5.82E+00,,,5.61E+00,,,6.73E+00,,,1.39E+01,,,5.87E+00,,,8.26E+00,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,321.11903,0.00E+00,,203.6045514,1.00E-02,,321.11903,0.00E+00,,203.6045514,0.00E+00,,203.68901,0.00E+00,,203.6045514,0.00E+00,,322.10549,1.90E-04,,197.75,-2.44E-02,,321.11903,1.05E-02,,197.75,-3.44E-03,,197.75,-3.44E-03,,322.10549,1.77E-04,,322.10549,0.00E+00,,203.60455,0.00E+00,,203.6045514,0.00E+00,,501.32344,1.24E-02,,203.6045514,0.00E+00,,499.84316,9.28E-05,,501.32344,2.34E-02,,203.60455,0.00E+00
,321.23332,0.00E+00,,203.8063457,4.01E-03,,321.23332,4.22E-03,,203.8063457,0.00E+00,,203.89203,0.00E+00,,203.8063457,0.00E+00,,322.21429,2.00E-04,,197.96,1.40E-03,,321.23332,6.36E-03,,197.96,-2.92E-03,,197.96,9.33E-04,,322.21429,1.85E-04,,322.21429,0.00E+00,,203.80635,0.00E+00,,203.8063457,0.00E+00,,501.47713,1.04E-02,,203.8063457,0.00E+00,,499.99819,1.39E-04,,501.47713,2.49E-02,,203.80635,0.00E+00
,321.3476,1.56E-03,,204.0081587,1.77E-02,,321.3476,0.00E+00,,204.0081587,0.00E+00,,204.09506,0.00E+00,,204.0081587,0.00E+00,,322.32309,2.16E-04,,198.16,1.54E-02,,321.3476,1.04E-02,,198.16,-6.74E-03,,198.16,8.98E-03,,322.32309,1.69E-04,,322.32309,0.00E+00,,204.00816,0.00E+00,,204.0081587,0.00E+00,,501.63083,1.35E-02,,204.0081587,0.00E+00,,500.15323,9.28E-05,,501.63083,2.39E-02,,204.00816,0.00E+00
,321.46188,1.40E-02,,204.2099905,-2.11E-02,,321.46188,1.73E-02,,204.2099905,0.00E+00,,204.29812,0.00E+00,,204.2099905,0.00E+00,,322.4319,2.29E-04,,198.36,-1.40E-03,,321.46188,0.00E+00,,198.36,-6.08E-03,,198.36,-4.14E-03,,322.4319,1.74E-04,,322.4319,0.00E+00,,204.20999,0.00E+00,,204.2099905,0.00E+00,,501.78454,9.98E-03,,204.2099905,0.00E+00,,500.30828,4.17E-04,,501.78454,2.49E-02,,204.20999,0.00E+00
,321.57616,0.00E+00,,204.411841,-3.37E-03,,321.57616,6.59E-03,,204.411841,0.00E+00,,204.50119,0.00E+00,,204.411841,0.00E+00,,322.54072,2.14E-04,,198.56,-5.32E-03,,321.57616,0.00E+00,,198.56,3.85E-04,,198.56,8.80E-03,,322.54072,1.60E-04,,322.54072,0.00E+00,,204.41184,0.00E+00,,204.411841,0.00E+00,,501.93825,1.65E-02,,204.411841,0.00E+00,,500.46334,0.00E+00,,501.93825,2.31E-02,,204.41184,0.00E+00
,321.69043,1.85E-04,,204.6137102,-8.73E-03,,321.69043,0.00E+00,,204.6137102,0.00E+00,,204.70428,0.00E+00,,204.6137102,0.00E+00,,322.64954,1.99E-04,,198.76,3.61E-02,,321.69043,7.62E-03,,198.76,-9.35E-04,,198.76,-8.16E-04,,322.64954,1.69E-04,,322.64954,0.00E+00,,204.61371,0.00E+00,,204.6137102,0.00E+00,,502.09198,7.57E-03,,204.6137102,0.00E+00,,500.6184,4.17E-04,,502.09198,2.38E-02,,204.61371,0.00E+00
,321.8047,2.89E-03,,204.8155981,3.23E-02,,321.8047,1.03E-02,,204.8155981,0.00E+00,,204.90738,0.00E+00,,204.8155981,0.00E+00,,322.75837,1.86E-04,,198.97,1.99E-02,,321.8047,4.00E-03,,198.97,3.29E-03,,198.97,-2.57E-03,,322.75837,1.70E-04,,322.75837,0.00E+00,,204.8156,0.00E+00,,204.8155981,0.00E+00,,502.24572,1.08E-02,,204.8155981,0.00E+00,,500.77348,0.00E+00,,502.24572,2.24E-02,,204.8156,0.00E+00
,321.91897,0.00E+00,,205.0175048,-2.50E-02,,321.91897,7.04E-03,,205.0175048,0.00E+00,,205.1105,0.00E+00,,205.0175048,0.00E+00,,322.86721,1.62E-04,,199.17,-2.38E-02,,321.91897,6.53E-03,,199.17,-6.08E-03,,199.17,-1.36E-02,,322.86721,1.54E-04,,322.86721,0.00E+00,,205.0175,0.00E+00,,205.0175048,0.00E+00,,502.39946,1.21E-02,,205.0175048,0.00E+00,,500.92856,4.17E-04,,502.39946,2.42E-02,,205.0175,0.00E+00
,322.03323,0.00E+00,,205.2194301,2.26E-02,,322.03323,0.00E+00,,205.2194301,0.00E+00,,205.31364,0.00E+00,,205.2194301,0.00E+00,,322.97605,1.45E-04,,199.37,1.15E-02,,322.03323,1.15E-02,,199.37,7.91E-03,,199.37,5.48E-03,,322.97605,1.45E-04,,322.97605,0.00E+00,,205.21943,0.00E+00,,205.2194301,0.00E+00,,502.55321,1.36E-02,,205.2194301,0.00E+00,,501.08364,0.00E+00,,502.55321,2.28E-02,,205.21943,0.00E+00
,322.14748,3.73E-03,,205.4213742,-7.16E-03,,322.14748,5.63E-03,,205.4213742,0.00E+00,,205.5168,0.00E+00,,205.4213742,0.00E+00,,323.0849,1.18E-04,,199.57,2.52E-03,,322.14748,1.06E-03,,199.57,-2.78E-03,,199.57,-1.03E-02,,323.0849,1.22E-04,,323.0849,0.00E+00,,205.42137,0.00E+00,,205.4213742,0.00E+00,,502.70698,5.94E-03,,205.4213742,0.00E+00,,501.23874,0.00E+00,,502.70698,2.41E-02,,205.42137,0.00E+00
