LED Item ,M365L2-C1,,,M365LP1-C1,,,M385L2-C1,,,M385LP1-C1,,,M405L3-C1,,,M405LP1-C1,,,M455L3-C1,,,M470L3-C1,,,M505L3-C1,,,M530L3-C1,,,M590L3-C1,,,M617L3-C1,,,M625L3-C1,,,M660L4-C1,,,M730L4-C1,,,M780L3-C1,,,M810L3-C1,,,M850L3-C1,,,M940L3-C1,,,MCWHL5-C1,
Approximate Total Beam Power with Collimation Adapter for Olympus BX and IX Microscopes (mW),120,,,505,,,170,,,795,,,665,,,750,,,500,,,350,,,210,,,170,,,80,,,320,,,380,,,590,,,240,,,210,,,245,,,480,,,430,,,440,
Scaling Constant,1.23E+01,,,3.76E+01,,,1.35E+01,,,5.92E+01,,,2.90E+01,,,4.58E+01,,,2.08E+01,,,1.66E+01,,,5.49E+00,,,4.09E+00,,,5.38E+00,,,1.74E+01,,,1.98E+01,,,2.31E+01,,,5.82E+00,,,5.61E+00,,,6.73E+00,,,1.39E+01,,,5.87E+00,,,8.26E+00,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,516.82475,1.22E-02,,576.5950921,5.68E-02,,516.82475,1.01E-02,,576.5950921,4.47E-02,,577.06786,3.48E-02,,576.5950921,5.29E-02,,517.93637,2.22E-04,,571.37,8.12E-03,,516.82475,5.13E+00,,571.37,8.57E-03,,571.37,5.83E-03,,517.93637,2.70E-04,,517.93637,2.37E-04,,576.59509,1.82E-02,,576.5950921,7.64E-03,,778.04503,5.51E+00,,576.5950921,6.21E-03,,777.34307,6.96E-04,,778.04503,3.06E-02,,576.59509,1.67E+00
,516.93931,0.00E+00,,576.8232803,4.70E-02,,516.93931,0.00E+00,,576.8232803,-2.35E-02,,577.29571,-5.21E-03,,576.8232803,6.29E-03,,518.05359,4.62E-04,,571.6,-1.15E-02,,516.93931,5.14E+00,,571.6,-1.16E-02,,571.6,6.00E-03,,518.05359,5.34E-04,,518.05359,5.20E-04,,576.82328,-3.45E-03,,576.8232803,1.24E-03,,778.21039,5.46E+00,,576.8232803,-6.24E-04,,777.50851,0.00E+00,,778.21039,3.30E-02,,576.82328,1.64E+00
,517.05387,7.51E-03,,577.0514804,5.65E-02,,517.05387,2.08E-02,,577.0514804,4.10E-02,,577.52357,3.82E-02,,577.0514804,5.05E-02,,518.17082,2.46E-04,,571.83,-2.77E-02,,517.05387,5.15E+00,,571.83,8.83E-03,,571.83,1.04E-02,,518.17082,2.66E-04,,518.17082,2.87E-04,,577.05148,2.70E-02,,577.0514804,1.88E-03,,778.37576,5.49E+00,,577.0514804,8.97E-03,,777.67394,1.25E-03,,778.37576,3.14E-02,,577.05148,1.66E+00
,517.16843,0.00E+00,,577.2796923,5.14E-02,,517.16843,0.00E+00,,577.2796923,-3.30E-02,,577.75144,-7.43E-04,,577.2796923,3.80E-03,,518.28806,4.78E-04,,572.06,-2.10E-02,,517.16843,5.16E+00,,572.06,3.85E-04,,572.06,-5.19E-03,,518.28806,5.02E-04,,518.28806,5.16E-04,,577.27969,-7.32E-03,,577.2796923,2.87E-04,,778.54113,5.49E+00,,577.2796923,3.23E-03,,777.83939,0.00E+00,,778.54113,3.34E-02,,577.27969,1.65E+00
,517.283,7.73E-03,,577.507916,5.32E-02,,517.283,2.17E-02,,577.507916,6.09E-02,,577.97932,2.60E-02,,577.507916,4.78E-02,,518.40529,2.36E-04,,572.29,7.56E-03,,517.283,5.18E+00,,572.29,2.10E-03,,572.29,2.68E-03,,518.40529,2.38E-04,,518.40529,2.32E-04,,577.50792,2.52E-02,,577.507916,3.34E-03,,778.7065,5.50E+00,,577.507916,4.63E-03,,778.00483,6.96E-04,,778.7065,3.17E-02,,577.50792,1.64E+00
,517.39757,0.00E+00,,577.7361515,5.11E-02,,517.39757,0.00E+00,,577.7361515,-2.97E-02,,578.20721,8.61E-03,,577.7361515,8.69E-03,,518.52254,4.63E-04,,572.51,-1.43E-02,,517.39757,5.12E+00,,572.51,-1.24E-02,,572.51,2.33E-04,,518.52254,5.05E-04,,518.52254,4.78E-04,,577.73615,-4.75E-03,,577.7361515,3.60E-03,,778.87188,5.54E+00,,577.7361515,-9.62E-03,,778.17029,0.00E+00,,778.87188,3.44E-02,,577.73615,1.64E+00
,517.51215,2.63E-03,,577.9643989,4.64E-02,,517.51215,1.95E-02,,577.9643989,5.66E-02,,578.43511,1.64E-02,,577.9643989,5.15E-02,,518.63978,2.31E-04,,572.74,7.56E-03,,517.51215,5.05E+00,,572.74,7.25E-03,,572.74,1.46E-02,,518.63978,2.74E-04,,518.63978,2.45E-04,,577.9644,2.43E-02,,577.9643989,2.81E-04,,779.03727,5.53E+00,,577.9643989,1.39E-02,,778.33574,6.96E-04,,779.03727,3.33E-02,,577.9644,1.64E+00
,517.62673,0.00E+00,,578.1926581,4.27E-02,,517.62673,0.00E+00,,578.1926581,-2.08E-02,,578.66303,-6.02E-03,,578.1926581,5.96E-03,,518.75703,4.71E-04,,572.97,-2.55E-02,,517.62673,5.08E+00,,572.97,-6.22E-03,,572.97,8.80E-03,,518.75703,5.54E-04,,518.75703,4.39E-04,,578.19266,1.66E-03,,578.1926581,-1.50E-03,,779.20265,5.56E+00,,578.1926581,-9.23E-03,,778.5012,0.00E+00,,779.20265,3.53E-02,,578.19266,1.64E+00
,517.74131,9.28E-03,,578.4209291,5.36E-02,,517.74131,1.34E-02,,578.4209291,4.47E-02,,578.89096,1.78E-02,,578.4209291,4.65E-02,,518.87428,2.40E-04,,573.2,-1.96E-03,,517.74131,5.02E+00,,573.2,2.50E-03,,573.2,-1.69E-03,,518.87428,2.88E-04,,518.87428,1.94E-04,,578.42093,1.92E-02,,578.4209291,5.40E-03,,779.36805,5.59E+00,,578.4209291,5.19E-03,,778.66667,4.17E-04,,779.36805,3.31E-02,,578.42093,1.64E+00
,517.8559,0.00E+00,,578.6492118,5.14E-02,,517.8559,0.00E+00,,578.6492118,-1.23E-02,,579.1189,1.59E-02,,578.6492118,6.57E-03,,518.99154,4.95E-04,,573.43,1.65E-02,,517.8559,5.06E+00,,573.43,-7.40E-03,,573.43,6.18E-03,,518.99154,5.30E-04,,518.99154,4.14E-04,,578.64921,1.09E-03,,578.6492118,-5.11E-03,,779.53344,5.58E+00,,578.6492118,-5.84E-03,,778.83214,0.00E+00,,779.53344,3.44E-02,,578.64921,1.60E+00
,517.97049,9.06E-03,,578.8775064,5.41E-02,,517.97049,9.39E-03,,578.8775064,5.18E-02,,579.34685,2.98E-02,,578.8775064,4.54E-02,,519.10879,2.55E-04,,573.66,1.32E-02,,517.97049,5.01E+00,,573.66,1.05E-03,,573.66,-2.57E-03,,519.10879,2.53E-04,,519.10879,2.24E-04,,578.87751,1.18E-02,,578.8775064,-1.93E-03,,779.69884,5.57E+00,,578.8775064,3.11E-03,,778.99761,9.74E-04,,779.69884,3.26E-02,,578.87751,1.64E+00
,518.08509,0.00E+00,,579.1058128,4.56E-02,,518.08509,0.00E+00,,579.1058128,9.62E-04,,579.57481,4.02E-03,,579.1058128,1.03E-02,,519.22606,4.95E-04,,573.88,-8.68E-03,,518.08509,4.95E+00,,573.88,-5.82E-03,,573.88,7.58E-03,,519.22606,5.02E-04,,519.22606,4.56E-04,,579.10581,6.35E-03,,579.1058128,-5.83E-03,,779.86425,5.56E+00,,579.1058128,-1.35E-02,,779.16309,0.00E+00,,779.86425,3.47E-02,,579.10581,1.61E+00
,518.19969,1.35E-02,,579.334131,4.83E-02,,518.19969,1.64E-02,,579.334131,4.47E-02,,579.80279,4.14E-02,,579.334131,4.46E-02,,519.34332,2.41E-04,,574.11,3.39E-02,,518.19969,4.99E+00,,574.11,1.84E-03,,574.11,-4.66E-04,,519.34332,2.58E-04,,519.34332,2.37E-04,,579.33413,1.70E-02,,579.334131,9.23E-03,,780.02965,5.58E+00,,579.334131,5.14E-03,,779.32857,1.39E-04,,780.02965,3.35E-02,,579.33413,1.62E+00
,518.31429,0.00E+00,,579.562461,4.52E-02,,518.31429,0.00E+00,,579.562461,-2.09E-02,,580.03077,6.35E-03,,579.562461,1.83E-03,,519.46059,4.88E-04,,574.34,-1.26E-02,,518.31429,4.99E+00,,574.34,1.06E-02,,574.34,1.13E-02,,519.46059,4.96E-04,,519.46059,4.94E-04,,579.56246,-2.66E-03,,579.562461,3.12E-03,,780.19507,5.57E+00,,579.562461,-5.18E-03,,779.49406,0.00E+00,,780.19507,3.50E-02,,579.56246,1.61E+00
,518.4289,1.57E-02,,579.7908027,5.52E-02,,518.4289,7.74E-03,,579.7908027,4.22E-02,,580.25877,3.30E-02,,579.7908027,4.11E-02,,519.57786,2.68E-04,,574.57,8.12E-03,,518.4289,4.98E+00,,574.57,1.16E-02,,574.57,2.14E-02,,519.57786,3.09E-04,,519.57786,3.66E-04,,579.7908,2.38E-02,,579.7908027,-1.61E-03,,780.36048,5.57E+00,,579.7908027,-3.49E-03,,779.65955,1.39E-04,,780.36048,3.54E-02,,579.7908,1.61E+00
,518.54351,0.00E+00,,580.0191563,5.70E-02,,518.54351,0.00E+00,,580.0191563,4.04E-02,,580.48678,4.23E-02,,580.0191563,4.44E-02,,519.69514,3.09E-04,,574.8,9.24E-03,,518.54351,4.94E+00,,574.8,1.71E-03,,574.8,-6.41E-04,,519.69514,3.75E-04,,519.69514,4.14E-04,,580.01916,1.99E-02,,580.0191563,9.71E-04,,780.52591,5.60E+00,,580.0191563,5.31E-03,,779.82505,0.00E+00,,780.52591,3.60E-02,,580.01916,1.60E+00
,518.65813,1.04E-02,,580.2475216,4.17E-02,,518.65813,1.53E-02,,580.2475216,-2.20E-02,,580.7148,-6.54E-04,,580.2475216,5.56E-03,,519.81242,9.50E-05,,575.03,-2.44E-02,,518.65813,4.91E+00,,575.03,2.37E-03,,575.03,8.45E-03,,519.81242,2.04E-04,,519.81242,2.30E-04,,580.24752,6.86E-03,,580.2475216,4.20E-03,,780.69133,5.60E+00,,580.2475216,-7.34E-03,,779.99055,0.00E+00,,780.69133,3.69E-02,,580.24752,1.59E+00
,518.77275,2.00E-03,,580.4758987,5.19E-02,,518.77275,0.00E+00,,580.4758987,3.26E-02,,580.94283,3.21E-02,,580.4758987,4.98E-02,,519.9297,1.26E-04,,575.26,1.82E-02,,518.77275,4.91E+00,,575.26,2.37E-03,,575.26,1.39E-02,,519.9297,1.86E-04,,519.9297,2.15E-04,,580.4759,2.59E-02,,580.4758987,-4.35E-03,,780.85676,5.61E+00,,580.4758987,4.34E-03,,780.15605,0.00E+00,,780.85676,3.52E-02,,580.4759,1.59E+00
,518.88737,9.28E-03,,580.7042875,4.46E-02,,518.88737,7.27E-03,,580.7042875,-3.03E-02,,581.17088,7.27E-03,,580.7042875,2.34E-03,,520.04699,1.19E-04,,575.48,1.99E-02,,518.88737,4.82E+00,,575.48,-3.97E-03,,575.48,1.28E-02,,520.04699,1.68E-04,,520.04699,1.94E-04,,580.70429,5.46E-03,,580.7042875,1.50E-03,,781.0222,5.60E+00,,580.7042875,-4.25E-03,,780.32156,0.00E+00,,781.0222,3.70E-02,,580.70429,1.57E+00
,519.002,0.00E+00,,580.9326881,5.49E-02,,519.002,0.00E+00,,580.9326881,3.21E-02,,581.39893,2.68E-02,,580.9326881,4.56E-02,,520.16428,1.28E-04,,575.71,-2.80E-04,,519.002,4.83E+00,,575.71,-2.78E-03,,575.71,1.32E-02,,520.16428,1.59E-04,,520.16428,1.88E-04,,580.93269,2.09E-02,,580.9326881,6.11E-03,,781.18763,5.58E+00,,580.9326881,-1.42E-03,,780.48707,0.00E+00,,781.18763,3.60E-02,,580.93269,1.59E+00
,519.11663,1.11E-02,,581.1611005,3.97E-02,,519.11663,2.27E-02,,581.1611005,-6.94E-03,,581.627,-7.89E-03,,581.1611005,8.85E-03,,520.28158,1.09E-04,,575.94,-2.94E-02,,519.11663,4.76E+00,,575.94,-1.11E-02,,575.94,6.18E-03,,520.28158,1.63E-04,,520.28158,1.50E-04,,581.1611,-2.67E-03,,581.1611005,6.17E-03,,781.35308,5.56E+00,,581.1611005,-5.10E-03,,780.65259,0.00E+00,,781.35308,3.84E-02,,581.1611,1.58E+00
,519.23127,0.00E+00,,581.3895247,4.69E-02,,519.23127,0.00E+00,,581.3895247,2.82E-02,,581.85508,3.85E-02,,581.3895247,4.22E-02,,520.39887,9.87E-05,,576.17,-9.80E-03,,519.23127,4.69E+00,,576.17,-1.10E-05,,576.17,1.63E-02,,520.39887,1.51E-04,,520.39887,2.45E-04,,581.38952,2.93E-02,,581.3895247,6.42E-03,,781.51852,5.54E+00,,581.3895247,3.80E-03,,780.81811,0.00E+00,,781.51852,3.73E-02,,581.38952,1.59E+00
,519.34591,4.62E-03,,581.6179606,3.66E-02,,519.34591,1.60E-02,,581.6179606,-3.60E-03,,582.08317,1.01E-02,,581.6179606,7.19E-03,,520.51617,9.50E-05,,576.4,-2.44E-02,,519.34591,4.61E+00,,576.4,-1.10E-05,,576.4,3.80E-02,,520.51617,1.61E-04,,520.51617,2.49E-04,,581.61796,-3.95E-03,,581.6179606,-1.25E-03,,781.68397,5.50E+00,,581.6179606,4.06E-04,,780.98364,0.00E+00,,781.68397,3.93E-02,,581.61796,1.59E+00
,519.46055,0.00E+00,,581.8464082,5.13E-02,,519.46055,0.00E+00,,581.8464082,4.09E-02,,582.31127,3.42E-02,,581.8464082,5.10E-02,,520.63348,9.27E-05,,576.63,-2.55E-02,,519.46055,4.60E+00,,576.63,3.69E-03,,576.63,3.47E-02,,520.63348,1.61E-04,,520.63348,2.41E-04,,581.84641,2.89E-02,,581.8464082,4.08E-03,,781.84943,5.50E+00,,581.8464082,5.07E-03,,781.14917,0.00E+00,,781.84943,3.81E-02,,581.84641,1.58E+00
,519.5752,7.06E-03,,582.0748676,4.15E-02,,519.5752,2.37E-02,,582.0748676,-1.62E-02,,582.53939,8.63E-03,,582.0748676,4.10E-03,,520.75079,1.02E-04,,576.85,-1.37E-02,,519.5752,4.56E+00,,576.85,-1.16E-02,,576.85,4.19E-02,,520.75079,1.83E-04,,520.75079,1.33E-04,,582.07487,1.05E-04,,582.0748676,6.34E-03,,782.01489,5.51E+00,,582.0748676,-1.13E-02,,781.31471,0.00E+00,,782.01489,3.98E-02,,582.07487,1.57E+00
,519.68985,0.00E+00,,582.3033387,4.72E-02,,519.68985,0.00E+00,,582.3033387,2.56E-02,,582.76751,3.24E-02,,582.3033387,4.71E-02,,520.8681,8.41E-05,,577.08,-1.09E-02,,519.68985,4.52E+00,,577.08,-4.63E-03,,577.08,4.34E-02,,520.8681,1.57E-04,,520.8681,1.63E-04,,582.30334,2.66E-02,,582.3033387,2.69E-03,,782.18035,5.56E+00,,582.3033387,4.87E-03,,781.48025,0.00E+00,,782.18035,3.84E-02,,582.30334,1.56E+00
,519.80451,5.07E-03,,582.5318216,4.24E-02,,519.80451,1.43E-02,,582.5318216,2.53E-02,,582.99565,9.71E-03,,582.5318216,3.54E-03,,520.98541,1.02E-04,,577.31,-1.96E-03,,519.80451,4.48E+00,,577.31,-1.20E-03,,577.31,5.64E-02,,520.98541,1.49E-04,,520.98541,1.82E-04,,582.53182,6.19E-03,,582.5318216,-3.19E-03,,782.34582,5.50E+00,,582.5318216,-4.05E-03,,781.64579,0.00E+00,,782.34582,4.09E-02,,582.53182,1.56E+00
,519.91917,0.00E+00,,582.7603162,4.65E-02,,519.91917,0.00E+00,,582.7603162,3.41E-02,,583.2238,4.23E-02,,582.7603162,4.44E-02,,521.10273,1.19E-04,,577.54,-8.68E-03,,519.91917,4.40E+00,,577.54,-4.24E-03,,577.54,5.44E-02,,521.10273,1.46E-04,,521.10273,2.45E-04,,582.76032,2.68E-02,,582.7603162,2.62E-03,,782.51129,5.51E+00,,582.7603162,1.05E-04,,781.81134,0.00E+00,,782.51129,4.01E-02,,582.76032,1.58E+00
,520.03383,1.46E-02,,582.9888225,4.53E-02,,520.03383,1.53E-02,,582.9888225,-3.82E-02,,583.45196,-2.84E-03,,582.9888225,4.14E-03,,521.22005,1.53E-04,,577.77,-7.00E-03,,520.03383,4.44E+00,,577.77,6.49E-04,,577.77,7.72E-02,,521.22005,1.56E-04,,521.22005,1.50E-04,,582.98882,1.79E-02,,582.9888225,5.11E-05,,782.67677,5.49E+00,,582.9888225,-6.25E-03,,781.97689,0.00E+00,,782.67677,4.09E-02,,582.98882,1.56E+00
,520.1485,0.00E+00,,583.2173406,3.44E-02,,520.1485,0.00E+00,,583.2173406,5.98E-02,,583.68013,3.62E-02,,583.2173406,4.08E-02,,521.33738,1.36E-04,,578,3.05E-02,,520.1485,4.34E+00,,578,6.06E-03,,578,8.37E-02,,521.33738,1.75E-04,,521.33738,1.56E-04,,583.21734,2.96E-02,,583.2173406,4.50E-03,,782.84225,5.47E+00,,583.2173406,1.75E-02,,782.14245,0.00E+00,,782.84225,3.91E-02,,583.21734,1.57E+00
,520.26318,9.06E-03,,583.4458704,3.82E-02,,520.26318,2.21E-02,,583.4458704,-2.59E-02,,583.90831,1.91E-03,,583.4458704,1.86E-03,,521.45471,1.29E-04,,578.23,-1.93E-02,,520.26318,4.29E+00,,578.23,-1.33E-02,,578.23,1.02E-01,,521.45471,1.58E-04,,521.45471,1.88E-04,,583.44587,8.57E-03,,583.4458704,-7.56E-03,,783.00774,5.45E+00,,583.4458704,-5.37E-03,,782.30801,0.00E+00,,783.00774,4.12E-02,,583.44587,1.56E+00
,520.37785,0.00E+00,,583.6744119,5.29E-02,,520.37785,0.00E+00,,583.6744119,3.83E-02,,584.13651,3.62E-02,,583.6744119,4.65E-02,,521.57204,1.14E-04,,578.46,9.80E-03,,520.37785,4.27E+00,,578.46,-6.22E-03,,578.46,9.12E-02,,521.57204,1.43E-04,,521.57204,2.60E-04,,583.67441,2.15E-02,,583.6744119,9.66E-03,,783.17323,5.42E+00,,583.6744119,8.28E-03,,782.47358,0.00E+00,,783.17323,4.04E-02,,583.67441,1.58E+00
,520.49253,1.96E-03,,583.9029651,3.74E-02,,520.49253,2.17E-02,,583.9029651,-3.76E-03,,584.36472,4.59E-03,,583.9029651,3.00E-03,,521.68938,1.13E-04,,578.68,-2.71E-02,,520.49253,4.19E+00,,578.68,-1.99E-03,,578.68,1.17E-01,,521.68938,1.48E-04,,521.68938,2.03E-04,,583.90297,1.29E-02,,583.9029651,-1.05E-02,,783.33872,5.42E+00,,583.9029651,-5.39E-03,,782.63915,0.00E+00,,783.33872,4.22E-02,,583.90297,1.57E+00
,520.60722,0.00E+00,,584.13153,4.99E-02,,520.60722,0.00E+00,,584.13153,3.93E-02,,584.59293,3.48E-02,,584.13153,4.64E-02,,521.80672,1.19E-04,,578.91,1.60E-02,,520.60722,4.18E+00,,578.91,4.48E-03,,578.91,1.26E-01,,521.80672,1.61E-04,,521.80672,1.46E-04,,584.13153,2.91E-02,,584.13153,2.07E-03,,783.50422,5.42E+00,,584.13153,8.09E-03,,782.80473,0.00E+00,,783.50422,4.06E-02,,584.13153,1.58E+00
,520.72191,1.74E-03,,584.3601066,3.31E-02,,520.72191,1.31E-02,,584.3601066,-7.74E-03,,584.82116,-2.83E-03,,584.3601066,-4.68E-04,,521.92406,1.07E-04,,579.14,-3.33E-02,,520.72191,4.07E+00,,579.14,1.44E-03,,579.14,1.85E-01,,521.92406,1.78E-04,,521.92406,1.03E-04,,584.36011,6.56E-03,,584.3601066,8.41E-04,,783.66972,5.42E+00,,584.3601066,-8.27E-04,,782.97031,0.00E+00,,783.66972,4.27E-02,,584.36011,1.56E+00
,520.8366,0.00E+00,,584.588695,4.65E-02,,520.8366,0.00E+00,,584.588695,5.18E-02,,585.04941,3.82E-02,,584.588695,4.41E-02,,522.04141,1.27E-04,,579.37,1.88E-02,,520.8366,4.07E+00,,579.37,1.18E-03,,579.37,1.94E-01,,522.04141,1.68E-04,,522.04141,1.67E-04,,584.58869,2.82E-02,,584.588695,4.12E-03,,783.83522,5.42E+00,,584.588695,4.92E-03,,783.13589,0.00E+00,,783.83522,4.18E-02,,584.58869,1.58E+00
,520.9513,1.19E-02,,584.817295,4.29E-02,,520.9513,2.14E-02,,584.817295,-1.40E-02,,585.27766,4.31E-03,,584.817295,2.95E-03,,522.15876,1.11E-04,,579.6,-1.88E-02,,520.9513,4.09E+00,,579.6,-9.38E-03,,579.6,2.29E-01,,522.15876,1.77E-04,,522.15876,1.31E-04,,584.81729,1.22E-02,,584.817295,4.21E-03,,784.00073,5.38E+00,,584.817295,-3.42E-03,,783.30148,0.00E+00,,784.00073,4.37E-02,,584.81729,1.55E+00
,521.066,0.00E+00,,585.0459067,4.51E-02,,521.066,0.00E+00,,585.0459067,4.60E-02,,585.50592,3.50E-02,,585.0459067,4.73E-02,,522.27611,1.12E-04,,579.83,-2.32E-02,,521.066,4.03E+00,,579.83,3.42E-03,,579.83,2.36E-01,,522.27611,1.79E-04,,522.27611,1.18E-04,,585.04591,2.70E-02,,585.0459067,7.38E-03,,784.16625,5.38E+00,,585.0459067,-7.19E-03,,783.46707,0.00E+00,,784.16625,4.38E-02,,585.04591,1.59E+00
,521.18071,9.50E-03,,585.2745301,3.85E-02,,521.18071,2.58E-03,,585.2745301,-2.88E-02,,585.7342,-1.06E-02,,585.2745301,-7.25E-04,,522.39347,1.11E-04,,580.06,-2.80E-04,,521.18071,4.01E+00,,580.06,-3.18E-03,,580.06,2.80E-01,,522.39347,1.97E-04,,522.39347,9.50E-05,,585.27453,9.72E-03,,585.2745301,3.82E-04,,784.33177,5.28E+00,,585.2745301,-2.18E-03,,783.63267,0.00E+00,,784.33177,4.62E-02,,585.27453,1.55E+00
,521.29542,0.00E+00,,585.5031652,4.63E-02,,521.29542,0.00E+00,,585.5031652,3.61E-02,,585.96249,2.98E-02,,585.5031652,4.10E-02,,522.51083,9.99E-05,,580.28,7.56E-03,,521.29542,4.03E+00,,580.28,-9.12E-03,,580.28,2.93E-01,,522.51083,1.94E-04,,522.51083,1.61E-04,,585.50317,3.28E-02,,585.5031652,1.69E-03,,784.49729,5.25E+00,,585.5031652,-2.79E-03,,783.79827,0.00E+00,,784.49729,4.58E-02,,585.50317,1.55E+00
,521.41013,0.00E+00,,585.731812,3.59E-02,,521.41013,1.10E-02,,585.731812,-1.49E-02,,586.19079,-7.74E-03,,585.731812,1.71E-03,,522.62819,1.19E-04,,580.51,-1.96E-03,,521.41013,3.98E+00,,580.51,-5.69E-03,,580.51,3.55E-01,,522.62819,1.85E-04,,522.62819,1.92E-04,,585.73181,6.31E-03,,585.731812,-1.42E-03,,784.66282,5.20E+00,,585.731812,-7.36E-03,,783.96388,0.00E+00,,784.66282,4.74E-02,,585.73181,1.53E+00
,521.52485,0.00E+00,,585.9604704,3.14E-02,,521.52485,0.00E+00,,585.9604704,4.02E-02,,586.4191,2.84E-02,,585.9604704,4.79E-02,,522.74556,1.06E-04,,580.74,1.37E-02,,521.52485,3.97E+00,,580.74,-4.76E-03,,580.74,3.66E-01,,522.74556,1.89E-04,,522.74556,1.86E-04,,585.96047,3.47E-02,,585.9604704,-9.67E-05,,784.82835,5.19E+00,,585.9604704,6.67E-03,,784.12949,0.00E+00,,784.82835,4.72E-02,,585.96047,1.54E+00
,521.63957,1.48E-02,,586.1891406,3.82E-02,,521.63957,2.77E-02,,586.1891406,-4.52E-02,,586.64742,1.62E-03,,586.1891406,7.54E-03,,522.86293,1.35E-04,,580.97,-1.99E-02,,521.63957,3.97E+00,,580.97,9.13E-04,,580.97,4.46E-01,,522.86293,1.93E-04,,522.86293,1.54E-04,,586.18914,1.92E-02,,586.1891406,2.46E-03,,784.99388,5.19E+00,,586.1891406,-1.96E-03,,784.2951,0.00E+00,,784.99388,4.98E-02,,586.18914,1.53E+00
,521.7543,0.00E+00,,586.4178224,4.66E-02,,521.7543,0.00E+00,,586.4178224,4.26E-02,,586.87575,2.82E-02,,586.4178224,4.27E-02,,522.98031,1.25E-04,,581.2,5.32E-03,,521.7543,3.97E+00,,581.2,-5.42E-03,,581.2,4.13E-01,,522.98031,1.85E-04,,522.98031,1.41E-04,,586.41782,3.28E-02,,586.4178224,7.50E-04,,785.15942,5.18E+00,,586.4178224,4.26E-04,,784.46072,0.00E+00,,785.15942,4.88E-02,,586.41782,1.54E+00
,521.86903,1.35E-02,,586.6465158,3.02E-02,,521.86903,1.27E-02,,586.6465158,-2.58E-02,,587.1041,-5.72E-03,,586.6465158,5.97E-03,,523.09768,1.36E-04,,581.43,-3.67E-02,,521.86903,3.95E+00,,581.43,-3.05E-03,,581.43,4.76E-01,,523.09768,1.78E-04,,523.09768,1.73E-04,,586.64652,1.25E-02,,586.6465158,-3.41E-03,,785.32496,5.13E+00,,586.6465158,4.83E-03,,784.62635,0.00E+00,,785.32496,5.04E-02,,586.64652,1.53E+00
,521.98377,0.00E+00,,586.875221,5.25E-02,,521.98377,0.00E+00,,586.875221,4.47E-02,,587.33246,2.29E-02,,586.875221,4.34E-02,,523.21506,1.21E-04,,581.66,8.40E-04,,521.98377,3.85E+00,,581.66,-4.07E-04,,581.66,4.94E-01,,523.21506,1.70E-04,,523.21506,2.45E-04,,586.87522,3.35E-02,,586.875221,2.86E-03,,785.49051,5.06E+00,,586.875221,4.86E-03,,784.79197,0.00E+00,,785.49051,4.91E-02,,586.87522,1.54E+00
,522.09851,1.07E-03,,587.1039377,4.26E-02,,522.09851,1.31E-02,,587.1039377,-2.51E-02,,587.56083,4.26E-03,,587.1039377,5.68E-03,,523.33245,1.24E-04,,581.89,-7.56E-03,,522.09851,3.85E+00,,581.89,-3.18E-03,,581.89,5.61E-01,,523.33245,1.94E-04,,523.33245,2.64E-04,,587.10394,2.14E-02,,587.1039377,3.78E-03,,785.65606,4.99E+00,,587.1039377,3.81E-03,,784.95761,0.00E+00,,785.65606,5.13E-02,,587.10394,1.53E+00
,522.21325,0.00E+00,,587.3326662,3.57E-02,,522.21325,0.00E+00,,587.3326662,3.62E-02,,587.78921,2.05E-02,,587.3326662,3.98E-02,,523.44984,1.19E-04,,582.12,8.68E-03,,522.21325,3.84E+00,,582.12,-3.05E-03,,582.12,5.55E-01,,523.44984,1.94E-04,,523.44984,2.22E-04,,587.33267,3.28E-02,,587.3326662,1.37E-03,,785.82162,4.98E+00,,587.3326662,1.14E-02,,785.12324,0.00E+00,,785.82162,4.96E-02,,587.33267,1.55E+00
,522.328,6.84E-03,,587.5614063,4.35E-02,,522.328,2.17E-02,,587.5614063,8.32E-03,,588.0176,7.82E-03,,587.5614063,5.62E-03,,523.56723,1.16E-04,,582.34,-3.72E-02,,522.328,3.73E+00,,582.34,-3.31E-03,,582.34,6.28E-01,,523.56723,1.88E-04,,523.56723,1.46E-04,,587.56141,2.09E-02,,587.5614063,1.56E-03,,785.98718,4.94E+00,,587.5614063,1.62E-03,,785.28888,0.00E+00,,785.98718,5.03E-02,,587.56141,1.53E+00
